Name,Symbol,Sector,Industry,Market Cap,Current Price,Volume,Investor Website,Enterprise Value,Trailing EPS,Forward EPS,Dividend Yield,Price to Book,Enterprise to EBITDA,Return on Assets,Return on Equity
"Agilent Technologies, Inc.",A,Healthcare,Diagnostics & Research,45197873152,154.23,1535102,https://www.agilent.com,46168915968,4.18,6.1,0.0061000003,7.3039403,28.152,0.07854,0.20954001
Alcoa Corporation,AA,Basic Materials,Aluminum,7401463296,41.22,3636677,https://www.alcoa.com,10183450624,-3.76,2.3,0.0097,1.8531673,18.056,-0.00331,-0.14336
ATA Creativity Global,AACG,Consumer Defensive,Education & Training Services,29074500,0.91,3232,https://ir.atai.net.cn/,33678128,-0.15,-0.99,N/A,0.2927928,-1.685,-0.05538,-0.30508
Armada Acquisition Corp. I,AACI,Financial Services,Shell Companies,81676880,11.4599,30451,https://armadaacq.com,94752672,-0.09,N/A,N/A,N/A,N/A,-0.02076,N/A
Armada Acquisition Corp. I,AACIU,Financial Services,Shell Companies,N/A,11.43,1,https://armadaacq.com,92411544,-0.203,N/A,N/A,N/A,N/A,-0.02076,N/A
Armada Acquisition Corp. I Warrant,AACIW,Financial Services,Shell Companies,N/A,0.13,27286,https://armadaacq.com,N/A,N/A,N/A,N/A,26.0,N/A,-0.02076,N/A
Ares Acquisition Corporation II,AACT,Financial Services,Shell Companies,663750016,10.62,4431,https://www.aresacquisitioncorporationii.com,666844864,0.36,N/A,N/A,N/A,N/A,-0.0026699998,N/A
"Aadi Bioscience, Inc.",AADI,Healthcare,Biotechnology,46898520,1.91,81099,https://aadibio.com,-40209468,-2.55,-2.86,N/A,0.5184582,0.54,-0.33108002,-0.58221
African Agriculture Holdings In,AAGR,Consumer Defensive,Farm Products,21410716,0.37,54720,https://africanagriculture.com,30358678,N/A,N/A,N/A,N/A,-0.748,-1.74983,N/A
N/A,AAGRW,Consumer Defensive,Farm Products,N/A,0.0115,100917,https://africanagriculture.com,N/A,N/A,N/A,N/A,N/A,N/A,-1.74983,N/A
"American Airlines Group, Inc.",AAL,Industrials,Airlines,9664204800,14.73,18445929,https://www.americanairlines.in/intl/in/index.jsp,40628211712,0.71,3.17,N/A,N/A,6.857,0.03514,N/A
Altisource Asset Management Cor,AAMC,Financial Services,Mortgage Finance,7024902,2.75,1749,https://www.altisourceamc.com,144394624,-11.12,N/A,N/A,N/A,-5.083,-0.25014,-0.89545995
Atlantic American Corporation,AAME,Financial Services,Insurance - Life,34883660,1.71,2779,https://www.atlam.com,47726084,-0.03,N/A,0.0112,0.32540438,14.221,0.00452,-0.0016300001
"Aarons Holdings Company, Inc.",AAN,Industrials,Rental & Leasing Services,232447552,7.59,146106,https://www.aarons.com,895648896,-0.79,0.67,0.0659,0.34665447,5.298,0.02708,-0.035150003
"Applied Optoelectronics, Inc.",AAOI,Technology,Communication Equipment,456195136,11.725,1782002,https://www.ao-inc.com,480422816,-1.75,0.78,N/A,2.0814843,-22.963,-0.06481,-0.28056
"AAON, Inc.",AAON,Industrials,Building Products & Equipment,6155831808,74.88,638482,https://www.aaon.com,6192971776,2.15,2.83,0.0043,7.8350945,21.456,0.16408001,0.25796
Advance Auto Parts Inc.,AAP,Consumer Cyclical,Specialty Retail,4443888640,74.55,1041241,https://shop.advanceautoparts.com,8383247360,0.5,4.44,0.0134000005,1.7607464,19.921,0.0058899997,0.011619999
Apple Inc.,AAPL,Technology,Consumer Electronics,2911485558784,189.87,40771639,https://www.apple.com,2948922081280,6.44,7.23,0.0053,39.25367,22.749,0.22073999,1.4725
"American Assets Trust, Inc.",AAT,Real Estate,REIT - Diversified,1768887296,22.95,160708,https://www.americanassetstrust.com,2958357248,0.89,0.73,0.0584,1.1650338,12.367,0.0255,0.0588
AllianceBernstein Holding L.P.,AB,Financial Services,Asset Management,3898301184,33.85,184616,https://www.alliancebernstein.com,N/A,2.42,3.37,0.081499994,1.8847439,N/A,N/A,0.13299
American Battery Technology Com,ABAT,Basic Materials,Other Industrial Metals & Mining,83138184,1.51,948106,https://americanbatterytechnology.com,87831408,-0.75,-0.14,N/A,1.1861744,-2.705,-0.27809998,-0.58326
AbbVie Inc.,ABBV,Healthcare,Drug Manufacturers - General,293876072448,166.42,3275748,https://www.abbvie.com,350205706240,3.36,12.06,0.0373,36.696804,13.41,0.07705,0.56244
Ameris Bancorp,ABCB,Financial Services,Banks - Regional,3486463232,50.45,207514,https://www.amerisbank.com,3019836672,4.1,4.89,0.0119,0.99687797,N/A,0.0109399995,0.084
AbCellera Biologics Inc.,ABCL,Healthcare,Biotechnology,1070356672,3.64,1037949,https://www.abcellera.com,499634880,-0.51,-0.6,N/A,0.918728,-2.348,-0.09789,-0.122729994
Abeona Therapeutics Inc.,ABEO,Healthcare,Biotechnology,179734720,4.4,522661,https://www.abeonatherapeutics.com,82016224,-2.53,-1.43,N/A,7.8711987,-1.786,-0.46991003,-2.6060102
Ambev S.A.,ABEV,Consumer Defensive,Beverages - Brewers,38115487744,2.42,12963896,https://www.ambev.com.br,28787402752,0.18,0.2,0.0624,0.44008002,1.239,0.087419994,0.17197001
Asbury Automotive Group Inc,ABG,Consumer Cyclical,Auto & Truck Dealerships,4864122880,241.13,169031,https://www.asburyauto.com,9919431680,27.59,30.69,N/A,1.4533169,8.773,0.07242,0.17767
"ARCA biopharma, Inc.",ABIO,Healthcare,Biotechnology,48308640,3.33,451831,https://www.arcabio.com,12453786,-0.42,-8.8,N/A,1.3748968,-1.563,-0.12667,-0.15867
"Abacus Life, Inc.",ABL,Financial Services,Insurance - Life,735140928,11.5,1916,https://abacuslife.com,874632000,0.16,N/A,N/A,4.4367285,30.664,0.080299996,0.094
"Abacus Life, Inc. - 9.875% Fixe",ABLLL,N/A,N/A,N/A,N/A,5155,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
